,id,food_id,nutrient_id,amount,min,max,median
0,2219773,321358,1262,0.0,0.0,0.0,0.0
1,2219774,321358,1265,1.41,1.05,1.76,1.43
2,2219725,321358,1278,0.0,0.0,0.0,0.0
3,2219709,321358,1127,1.3,0.26,2.47,1.21
4,2219749,321358,1090,71.1,56.6,82.0,70.4
5,2219746,321358,1075,0.0,0.0,0.0,0.0
6,2219766,321358,1313,0.005,0.003,0.006,0.005
7,2219815,321358,1330,0.012,,,
8,2219737,321358,1404,0.637,0.411,0.742,0.668
9,2219807,321358,1197,1.1,,,1.1
10,2219771,321358,1259,0.0,0.0,0.0,0.0
11,2219810,321358,1194,22.3,,,22.3
12,2219777,321358,1123,258.0,,,258.0
13,2219761,321358,1299,0.004,0.003,0.004,0.004
14,2219724,321358,1273,0.044,0.031,0.062,0.042
15,2219719,321358,1258,2.22,,,
16,2219791,321358,1014,0.0,0.0,0.0,0.0
17,2219758,321358,1276,0.0,0.0,0.0,0.0
18,2219734,321358,1323,0.007,0.005,0.01,0.008
19,2219748,321358,1089,2.41,1.87,2.96,2.33
20,2219825,321358,1085,16.1,,,
21,2219806,321358,1180,46.6,,,46.6
22,2219798,321358,1002,1.18,0.99,1.29,1.25
23,2219790,321358,1011,0.0,0.0,0.0,0.0
24,2219792,321358,1051,58.7,56.1,65.6,57.6
25,2219756,321358,1108,0.0,,,0.0
26,2219796,321358,1103,16.2,0.0,32.3,16.2
27,2219780,321358,1128,0.0,0.0,0.0,0.0
28,2219757,321358,1271,0.005,0.003,0.006,0.006
29,2219735,321358,1329,0.006,,,
30,2219736,321358,1333,0.0,0.0,0.0,0.0
31,2219743,321358,1012,0.15,0.0,0.3,0.15
32,2219801,321358,2014,0.001,0.0,0.004,0.0
33,2219802,321358,1334,0.0,0.0,0.0,0.0
34,2219717,321358,1185,17.2,11.2,23.3,17.2
35,2219808,321358,1198,0.2,,,0.2
36,2219731,321358,1315,6.25,4.87,8.73,5.98
37,2219711,321358,1131,0.0,0.0,0.0,0.0
38,2219814,321358,1050,13.9,,,
39,2219764,321358,1306,0.012,0.008,0.017,0.012
40,2219783,321358,1170,0.318,0.26,0.37,0.32
41,2219824,321358,2026,0.005,,,
42,2219779,321358,1126,9.47,6.32,11.9,9.58
43,2219781,321358,1129,0.0,0.0,0.0,0.0
44,2219722,321358,1264,0.009,0.008,0.01,0.008
45,2219754,321358,1106,1.0,,,
46,2219800,321358,2012,0.084,0.046,0.126,0.082
47,2219784,321358,1175,0.143,0.11,0.16,0.15
48,2219759,321358,1292,6.37,,,
